responseId,startTime,endTime,testType,activityPoints,dfs01,dfs02,dfs03,dfs04,dfs05,dfs06,dfs07,dfs08,dfs09,dfsPreMean,motivationPos01,motivationPos02,motivationPos03*,motivationPos04,motivationPos05,motivationPos06,motivationPos07*,motivationPos08,motivationPos09,motivationPos10,motivationPos11,motivationPos12*,motivationPos13,motivationPos14,motivationPos15*,motivationPos16,motivationPos17,motivationPos18,motivationPos19*,motivationPos20,motivationPos21,motivationPos22*,motivationPos23,motivationPos24,motivationPos25,motivationPos26*,motivationPos27,motivationPos28,motivationPos29*,motivationPos30,motivationPos31*,motivationPos32,motivationPos33,motivationPos34*,motivationPos35,motivationPos36,attention,relevance,confidence,satisfaction,motivationPostSum,fss01,fss02,fss03,fss04,fss05,fss06,fss07,fss08,fss09,flowPosMean,gender,condition,age,ethnicity,city,civilState,universityEducation,institucion,educationLevel,conclusion
96fcf190-9d3c-11eb-8bc5-d17adb29b9cd,1618416000971,1618416788345,stFemale,17,3,2,5,1,4,2,5,1,2,"2,777777778",5,5,5,3,4,3,4,4,3,2,5,1,3,3,5,3,5,3,4,5,3,3,3,1,3,5,3,3,5,1,5,3,3,5,4,4,75,26,36,20,129,5,1,3,3,1,5,5,3,3,"3,222222222",Homem,inThreat,24,Pardo,Maceió,Solteiro(a),Sim,UFAL,Graduação,2023
0b6120a0-9d3e-11eb-8bc5-d17adb29b9cd,1618416639416,1618417231397,default,15,4,4,3,3,4,2,2,5,3,"3,333333333",5,4,1,3,2,4,1,3,2,4,3,5,2,5,5,3,4,5,3,5,5,4,5,2,3,4,5,4,3,1,3,4,3,4,3,4,61,31,25,25,126,5,2,5,4,5,3,3,4,5,4,Homem,control,21,Branco,Maceió,Solteiro(a),Sim,UFAL,Graduação,2024
11bf6060-9d3e-11eb-8bc5-d17adb29b9cd,1618416643184,1618417390058,stFemale,16,5,4,4,3,3,3,3,5,3,"3,666666667",4,4,4,5,4,5,5,4,4,4,3,4,5,2,2,3,3,3,4,4,3,2,2,3,4,3,4,3,4,3,4,4,3,4,4,4,66,30,39,21,130,4,4,4,4,3,4,4,4,4,"3,888888889",Homem,inThreat,20,Branco,São Paulo,Solteiro(a),Sim,Uninove,Graduação,2022
06b64b50-9d40-11eb-8bc5-d17adb29b9cd,1618417622203,1618418232645,stFemale,17,5,4,4,3,4,4,5,5,4,"4,222222222",5,5,4,4,5,5,3,5,5,5,3,5,4,4,4,4,4,1,3,4,4,4,3,4,2,3,5,4,3,4,5,5,4,4,4,5,78,34,33,28,145,5,3,5,5,4,4,4,5,5,"4,444444444",Homem,inThreat,20,Pardo,Maceió,União estável,Sim,UFAL,Graduação,2023
7c2d7100-9d41-11eb-8bc5-d17adb29b9cd,1618417668987,1618418767329,stMale,18,4,3,5,2,5,4,5,3,3,"3,777777778",5,5,4,2,5,5,5,5,3,3,3,5,5,4,2,4,3,3,5,5,5,4,5,3,5,4,5,5,2,3,5,5,3,4,3,4,75,33,38,28,146,5,5,5,3,3,5,5,4,5,"4,444444444",Homem,inBoost,22,Pardo,Rio Largo,Solteiro(a),Sim,UFAL,Graduação,2023
cc413540-9d42-11eb-8bc5-d17adb29b9cd,1618418534242,1618419450095,stMale,17,4,3,3,3,2,3,2,4,3,3,4,3,5,4,3,4,4,3,3,1,2,4,3,2,3,2,4,2,4,3,2,2,2,2,4,2,4,2,4,2,5,2,1,4,3,3,62,19,35,16,107,4,4,3,3,3,3,4,2,3,"3,222222222",Homem,inBoost,21,Branco,Maceió,Solteiro(a),Sim,UFAL,Graduação,2022
05f9aab0-9d43-11eb-8bc5-d17adb29b9cd,1618419296437,1618419612048,default,12,4,2,4,3,5,4,1,5,3,"3,444444444",3,4,4,4,5,3,2,4,4,3,4,2,3,4,5,3,4,2,4,3,4,3,4,3,4,4,2,3,4,3,4,4,4,3,4,4,71,30,31,23,127,4,4,3,4,2,4,3,4,2,"3,333333333",Homem,control,22,Pardo,Junqueiro,Solteiro(a),Sim,UFAL,Graduação,2023
8c1b6f70-9d43-11eb-8bc5-d17adb29b9cd,1618418463769,1618419726264,default,15,4,5,5,4,5,4,5,5,5,"4,666666667",4,5,2,4,5,3,5,5,4,4,5,5,5,4,5,4,5,1,4,4,5,5,5,4,3,5,3,5,5,3,5,5,4,5,4,5,80,33,36,27,154,5,5,3,4,5,5,4,5,5,"4,555555556",Homem,control,21,Pardo,Maceió,Solteiro(a),Sim,UFAL,Graduação,2022
4ad9bce0-9d45-11eb-8bc5-d17adb29b9cd,1618419674101,1618420458909,stMale,13,4,3,4,4,4,4,5,3,5,4,5,4,4,3,4,5,3,4,5,4,4,4,5,5,4,4,4,4,2,4,4,4,4,2,4,3,4,4,4,2,4,5,2,5,5,5,63,33,36,27,142,5,1,4,5,2,2,5,4,5,"3,666666667",Homem,inBoost,45,Branco,São Paulo,Casado(a),Sim,UNIB,Outros,
a53a2730-9d48-11eb-8bc5-d17adb29b9cd,1618421299038,1618421983046,stMale,15,3,4,4,3,3,2,5,3,3,"3,333333333",3,3,4,3,3,4,2,5,3,3,2,2,3,4,5,3,3,3,5,5,3,2,4,2,3,4,3,3,3,3,3,5,3,5,3,5,70,30,31,23,122,5,5,3,3,1,4,5,4,3,"3,666666667",Mulher,inThreat,19,Pardo,Rio Largo,Solteiro(a),Sim,Centro universitário Cesmac,Graduação,2022
81cfe130-9d49-11eb-8bc5-d17adb29b9cd,1618421485597,1618422352466,stFemale,16,4,4,5,2,4,3,4,2,3,"3,444444444",5,5,5,5,4,5,1,5,2,3,5,5,5,4,5,2,4,5,5,5,5,1,5,1,5,2,2,2,2,5,3,5,3,5,4,4,68,32,40,24,139,3,1,5,5,1,5,5,4,5,"3,777777778",Mulher,inBoost,20,Branco,Maceió,Solteiro(a),Sim,UFAL,Graduação,2024
2553f7a0-9d4b-11eb-8bc5-d17adb29b9cd,1618422274866,1618422998129,default,14,3,2,4,3,5,3,2,3,5,"3,333333333",5,1,3,5,4,4,5,5,2,4,4,5,3,4,5,3,4,2,5,5,4,5,4,3,4,4,2,5,5,1,5,5,3,4,4,5,74,27,38,24,141,2,5,4,2,2,4,3,3,5,"3,333333333",Mulher,control,21,Pardo,Maceió,Solteiro(a),Sim,UFAL,Graduação,2022
19b1a040-9d83-11eb-8bc5-d17adb29b9cd,1618446667365,1618447095489,default,19,4,3,4,5,4,4,3,4,4,"3,888888889",5,3,5,3,3,5,4,4,3,1,3,5,3,5,3,1,4,2,4,4,5,5,4,1,4,1,2,3,2,1,2,2,3,3,,4,57,21,31,21,112,5,3,4,4,3,4,4,3,5,"3,888888889",Homem,control,20,Branco,Maceió,Prefiro não Responder,Sim,Cesmac,Graduação,
3f445100-9e31-11eb-8bc5-d17adb29b9cd,1618521407072,1618521890889,stFemale,13,4,4,3,3,4,4,4,4,3,"3,666666667",4,3,2,4,5,4,4,4,4,4,4,4,4,4,2,4,5,4,4,4,3,3,4,4,4,4,3,4,3,4,4,4,3,3,3,4,64,35,32,23,134,4,2,4,4,4,4,4,4,3,"3,666666667",Homem,inThreat,25,Branco,Maceió,Solteiro(a),Sim,UFAL,Graduação,2021
b2c9b7c0-a172-11eb-b922-53ca83b8bd36,1618878882803,1618879747173,stFemale,14,5,4,5,4,5,5,1,3,5,"4,111111111",5,4,5,4,4,5,2,5,1,3,3,3,3,2,,4,4,1,3,4,3,2,4,3,4,3,3,3,4,3,3,4,4,3,4,4,60,28,33,20,119,3,4,4,5,4,5,5,4,4,"4,222222222",Homem,inThreat,24,Branco,Maceió,Solteiro(a),Sim,UFAL,Mestrado,2021
dbec9230-a172-11eb-b922-53ca83b8bd36,1618878898448,1618879888140,stMale,16,5,5,5,5,5,5,5,3,4,"4,666666667",5,3,4,3,4,4,3,5,1,1,3,5,4,4,3,3,3,5,4,4,5,3,4,2,4,3,5,3,3,3,5,4,3,5,3,4,73,27,35,26,130,5,5,5,4,3,5,4,4,4,"4,333333333",Homem,inBoost,27,Branco,Maceió,Solteiro(a),Sim,UFAL,Graduação,2021
488c7e50-a173-11eb-b922-53ca83b8bd36,1618879030353,1618880078202,stFemale,18,4,1,3,4,3,3,4,4,3,"3,222222222",4,3,3,3,2,4,4,3,3,2,3,5,2,2,5,2,3,3,5,5,3,5,3,2,4,1,2,2,5,1,5,3,1,5,2,5,71,20,32,17,115,4,5,4,4,4,4,4,4,5,"4,222222222",Homem,inThreat,22,Branco,Maceió,Solteiro(a),Sim,UFAL,Graduação,2023
96084330-a551-11eb-b922-53ca83b8bd36,1619304049890,1619305368877,stMale,16,4,2,4,2,2,2,3,2,5,"2,888888889",3,2,3,2,4,3,4,3,2,3,2,2,2,4,3,2,3,2,4,4,4,5,3,3,3,5,2,4,3,2,5,4,2,2,4,3,67,24,27,21,111,4,2,4,2,3,5,3,4,3,"3,333333333",Homem,inBoost,24,Pardo,Rio Largo,Solteiro(a),Sim,UFAL,Graduação,2024
906b82f0-a968-11eb-b922-53ca83b8bd36,1619754349936,1619755074567,stMale,20,5,3,4,5,4,4,5,4,3,"4,111111111",3,2,4,3,4,5,5,3,2,3,2,5,1,2,1,3,1,,3,5,4,5,3,1,3,3,3,4,4,3,4,5,3,3,3,2,56,25,28,20,110,5,4,5,5,2,5,5,4,5,"4,444444444",Homem,inBoost,31,Branco,Salvador,União estável,Sim,Unicamp,Doutorado,2024
e6efef80-aa03-11eb-b922-53ca83b8bd36,1619821415819,1619821839287,stFemale,18,4,2,4,5,4,3,5,3,4,"3,777777778",5,5,5,5,5,4,4,5,4,5,5,5,4,4,5,4,5,3,5,5,5,5,4,3,5,5,5,5,5,3,5,5,4,5,5,5,81,36,43,29,166,5,3,5,3,1,5,5,5,5,"4,111111111",Homem,inThreat,22,Branco,,Solteiro(a),Sim,Unicamp,Graduação,2021
b1950da0-ac0d-11eb-b922-53ca83b8bd36,1620045524285,1620045950332,default,15,3,3,3,2,1,3,2,5,3,"2,777777778",2,3,2,3,4,4,2,4,4,4,3,3,2,3,3,3,4,3,3,4,3,2,3,3,3,4,4,2,2,2,1,5,3,2,3,3,57,30,22,22,108,4,3,3,4,4,4,3,4,4,"3,666666667",Mulher,control,21,Branco,São Paulo,Solteiro(a),Sim,UNICAMP,Graduação,2023
9501d880-ac1c-11eb-b922-53ca83b8bd36,1620051620778,1620052312741,stFemale,19,5,3,5,5,4,4,3,3,4,4,5,5,4,2,5,4,5,5,2,5,4,5,5,4,5,4,4,4,4,4,5,3,4,3,5,4,5,5,4,3,5,5,3,2,4,4,74,33,36,28,149,5,2,5,4,3,5,5,5,5,"4,333333333",Homem,inThreat,29,Branco,Salvador,Casado(a),Sim,UFBA,Graduação,2023
